eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
618629599,2019,02,24,10,52,04.60,100,-2.9,23,3.3,0
618632927,2019,08,13,18,26,52   ,102.56,-5.38,23,3.3,0
625075773,2021,01,09,22,08,09.30,100.63,-2.68,23,3.3,0
12922714,2008,10,01,19,21,48   ,107.83,-8.34,23,3.4,0
15881280,2010,04,23,09,43,29   ,105.25,-6.28,23,3.4,0
15881561,2010,05,15,12,58,28.10,106.68,-7.65,23,3.4,0
15882621,2010,08,19,12,47,14.30,107,-8,23,3.4,0
601515294,2010,12,03,23,55,18.50,106.92,-8.14,23,3.4,0
601990174,2011,01,27,14,01,00.10,107.6,-8.09,23,3.4,0
602003960,2011,04,12,09,51,13.60,106.82,-7.85,23,3.4,0
602004490,2011,06,07,15,21,49.30,107.75,-8.46,23,3.4,0
602030081,2012,09,16,19,17,50.90,108.54,-8.89,23,3.4,0
608080708,2013,10,27,12,37,38.80,107.25,-7.99,23,3.4,0
611857865,2015,05,31,11,55,44.10,103.47,-6.13,23,3.4,0
618629119,2019,02,02,11,29,11.20,100.07,-2.91,23,3.4,0
618633122,2019,08,23,10,57,10.40,108.99,-8.43,23,3.4,0
618634359,2019,10,18,11,11,46.20,107.88,-8.13,23,3.4,0
618634674,2019,11,05,03,16,28.70,107.12,-7.95,23,3.4,0
621871939,2020,04,17,15,51,05.60,102,-4.96,23,3.4,0
621873072,2020,06,08,05,34,01.10,102.46,-4.53,23,3.4,0
621850922,2020,07,25,00,10,56.30,103.3,-5.87,23,3.4,0
621851339,2020,08,09,05,55,16.70,102.29,-4.57,23,3.4,0
621851368,2020,08,10,07,01,21.20,107.91,-8.05,23,3.4,0
13331110,2008,01,09,14,54,06.62,105.1479,-6.9831,23,3.41541,0
602860070,2013,03,05,01,58,11.91,105.2295,-7.0627,23,3.41541,0
15860740,2009,12,17,05,57,14   ,108.47,-8.33,23,3.5,0
15880634,2010,03,21,16,29,04.90,103.03,-4.99,23,3.5,0
15882634,2010,08,20,02,04,37.90,107.87,-8,23,3.5,0
602013110,2012,03,06,16,10,49.90,105.21,-6.7,23,3.5,0
602027595,2012,07,11,00,59,49   ,103.81,-5.26,23,3.5,0
611817090,2016,06,26,15,12,50.90,107.78,-8.28,23,3.5,0
615345403,2017,01,24,21,09,40.10,101.23,-3.54,23,3.5,0
615346082,2017,04,05,02,54,24.80,108.89,-8.46,23,3.5,0
618629121,2019,02,02,10,47,53.80,100.04,-2.79,23,3.5,0
618631926,2019,06,06,16,25,02.10,109.02,-8.37,23,3.5,0
15854388,2009,09,04,13,10,45.70,107.54,-7.3,23,3.6,0
15854469,2009,09,12,10,15,01   ,107.36,-8.08,23,3.6,0
15881439,2010,05,07,21,17,58.50,102.04,-4.71,23,3.6,0
15881853,2010,06,12,13,51,39.70,102.72,-5.56,23,3.6,0
15882080,2010,07,06,00,48,55.10,107.34,-8,23,3.6,0
601513461,2010,10,15,17,07,09.70,103.8,-7.05,23,3.6,0
602012726,2012,02,21,22,40,37.50,107.27,-8.1,23,3.6,0
602015712,2012,04,18,09,17,31.80,102.3,-4.67,23,3.6,0
601997172,2012,10,05,16,12,48.80,107.01,-8.43,23,3.6,0
606793016,2012,11,14,06,26,35.60,107.06,-7.9,23,3.6,0
618631591,2019,05,17,07,11,14.10,103.72,-6.07,23,3.6,0
618631767,2019,05,26,15,40,10.50,107.25,-8.15,23,3.6,0
